,date,open,high,low,close,volume,Name,RealName,dat,value
5147,2016-04-01,27.7591,27.7769,26.9935,27.127,17421708,GM,General Motors,1,0.8269992008771772
5189,2016-06-01,27.7324,27.7324,26.5929,26.9045,26002285,GM,General Motors,1,3.2723015507446616
5211,2016-07-01,25.8717,26.1332,25.5741,26.052,15157864,GM,General Motors,1,-7.69982958551371
5231,2016-08-01,28.4417,28.5138,28.1351,28.2253,11190647,GM,General Motors,1,-1.572384067624025
5254,2016-09-01,28.7303,29.3525,28.2614,28.6762,14898781,GM,General Motors,1,-0.19281905636998561
5296,2016-11-01,28.9324,29.2792,28.4669,28.7316,14668318,GM,General Motors,1,-13.587613611072683
5317,2016-12-01,31.7708,33.4593,31.7526,33.2494,37092255,GM,General Motors,1,-0.27922321361625474
5358,2017-02-01,33.8407,34.2374,33.0842,33.3425,13744086,GM,General Motors,1,-3.4465883061561864
5377,2017-03-01,34.3205,34.8279,34.302,34.5327,10702571,GM,General Motors,1,8.336182961835892
5419,2017-05-01,32.2763,32.2949,31.8103,31.8755,12790516,GM,General Motors,1,-0.6681229919694397
5441,2017-06-01,31.745,32.5,30.8037,32.0899,22657829,GM,General Motors,1,-3.5409508865903687
5483,2017-08-01,33.135999999999996,33.3575,33.0983,33.2679,7991646,GM,General Motors,1,-5.514152470647057
5506,2017-09-01,34.6156,35.5769,34.5402,35.2094,17975025,GM,General Motors,1,-14.251827750636844
5548,2017-11-01,40.6711,41.2899,39.8904,41.0614,14701339,GM,General Motors,1,0.7945956693676922
5569,2017-12-01,41.1186,41.1757,39.8619,40.7377,19324718,GM,General Motors,1,-0.06084023305735946
5610,2018-02-01,40.4647,40.9258,40.3013,40.7625,9629833,GM,General Motors,1,12.278541680438957
5629,2018-03-01,38.0341,38.0341,35.9398,36.3048,26183081,GM,General Motors,1,2.716680907408771
5671,2018-05-01,35.6745,35.8686,34.8302,35.3446,11381238,GM,General Motors,1,-15.694440469034737
5693,2018-06-01,41.7109,42.036,41.08,41.9244,24461816,GM,General Motors,1,15.310607352480076
5735,2018-08-01,37.092,37.092,36.1033,36.3578,11179703,GM,General Motors,1,7.427291610650011
5777,2018-10-01,33.9431,34.1806,33.6363,33.8441,13746055,GM,General Motors,1,-6.224352668984916
