date,close,Name,RealName
2016-08-01,28.2253,GM,General Motors
2016-08-02,26.9899,GM,General Motors
2016-08-03,27.2694,GM,General Motors
2016-08-04,27.3596,GM,General Motors
2016-08-05,27.7744,GM,General Motors
2016-08-08,27.8465,GM,General Motors
2016-08-09,28.0179,GM,General Motors
2016-08-10,28.1802,GM,General Motors
2016-08-11,28.6311,GM,General Motors
2016-08-12,28.4688,GM,General Motors
2016-08-15,28.7303,GM,General Motors
2016-08-16,28.595,GM,General Motors
2016-08-17,28.7213,GM,General Motors
2016-08-18,28.4507,GM,General Motors
2016-08-19,28.7032,GM,General Motors
2016-08-22,28.7393,GM,General Motors
2016-08-23,28.7663,GM,General Motors
2016-08-24,28.6581,GM,General Motors
2016-08-25,28.4417,GM,General Motors
2016-08-26,28.4327,GM,General Motors
2016-08-29,28.6852,GM,General Motors
2016-08-30,28.5589,GM,General Motors
2016-08-31,28.7844,GM,General Motors
2016-09-01,28.6762,GM,General Motors
2016-09-02,29.0008,GM,General Motors
2016-09-06,28.6221,GM,General Motors
2016-09-07,29.1058,GM,General Motors
2016-09-08,28.9415,GM,General Motors
2016-09-09,27.8189,GM,General Motors
2016-09-12,28.4578,GM,General Motors
2016-09-13,28.2387,GM,General Motors
2016-09-14,28.0288,GM,General Motors
2016-09-15,28.403,GM,General Motors
2016-09-16,28.2661,GM,General Motors
2016-09-19,28.9506,GM,General Motors
2016-09-20,28.8867,GM,General Motors
2016-09-21,29.3066,GM,General Motors
2016-09-22,29.5621,GM,General Motors
2016-09-23,29.3157,GM,General Motors
2016-09-26,29.0236,GM,General Motors
2016-09-27,28.8411,GM,General Motors
2016-09-28,29.1149,GM,General Motors
2016-09-29,28.7316,GM,General Motors
2016-09-30,28.9963,GM,General Motors
2016-10-03,29.2427,GM,General Motors
2016-10-04,29.3613,GM,General Motors
2016-10-05,29.8268,GM,General Motors
2016-10-06,29.6899,GM,General Motors
2016-10-07,29.5165,GM,General Motors
2016-10-10,29.3431,GM,General Motors
2016-10-11,29.1058,GM,General Motors
2016-10-12,28.9141,GM,General Motors
2016-10-13,28.759,GM,General Motors
2016-10-14,29.0875,GM,General Motors
2016-10-17,28.8046,GM,General Motors
2016-10-18,28.6586,GM,General Motors
2016-10-19,29.0693,GM,General Motors
2016-10-20,28.978,GM,General Motors
2016-10-21,29.2427,GM,General Motors
2016-10-24,30.1006,GM,General Motors
2016-10-25,28.8411,GM,General Motors
2016-10-26,28.8228,GM,General Motors
2016-10-27,28.5947,GM,General Motors
2016-10-28,28.5855,GM,General Motors
2016-10-31,28.8411,GM,General Motors
2016-11-01,28.7316,GM,General Motors
2016-11-02,28.7042,GM,General Motors
2016-11-03,28.3574,GM,General Motors
2016-11-04,28.4395,GM,General Motors
2016-11-07,29.2244,GM,General Motors
2016-11-08,28.9597,GM,General Motors
2016-11-09,28.257,GM,General Motors
2016-11-10,29.8724,GM,General Motors
2016-11-11,31.0498,GM,General Motors
2016-11-14,30.3744,GM,General Motors
2016-11-15,30.5113,GM,General Motors
2016-11-16,30.3288,GM,General Motors
2016-11-17,30.5022,GM,General Motors
2016-11-18,30.1189,GM,General Motors
2016-11-21,30.128,GM,General Motors
2016-11-22,30.8582,GM,General Motors
2016-11-23,30.9038,GM,General Motors
2016-11-25,31.2597,GM,General Motors
2016-11-28,31.0772,GM,General Motors
2016-11-29,31.5518,GM,General Motors
2016-11-30,31.5153,GM,General Motors
2016-12-01,33.2494,GM,General Motors
2016-12-02,32.3185,GM,General Motors
2016-12-05,32.2354,GM,General Motors
2016-12-06,32.3554,GM,General Motors
2016-12-07,33.4901,GM,General Motors
2016-12-08,33.6009,GM,General Motors
2016-12-09,34.7449,GM,General Motors
2016-12-12,34.2282,GM,General Motors
2016-12-13,34.4681,GM,General Motors
2016-12-14,33.1672,GM,General Motors
2016-12-15,33.4348,GM,General Motors
2016-12-16,33.5547,GM,General Motors
2016-12-19,33.5824,GM,General Motors
2016-12-20,33.7761,GM,General Motors
2016-12-21,33.6009,GM,General Motors
2016-12-22,32.9274,GM,General Motors
2016-12-23,32.9274,GM,General Motors
2016-12-27,32.789,GM,General Motors
2016-12-28,32.4292,GM,General Motors
2016-12-29,32.4199,GM,General Motors
2016-12-30,32.1432,GM,General Motors
2017-01-03,32.4292,GM,General Motors
2017-01-04,34.219,GM,General Motors
2017-01-05,33.5732,GM,General Motors
2017-01-06,33.2041,GM,General Motors
2017-01-09,33.2226,GM,General Motors
2017-01-10,34.4589,GM,General Motors
2017-01-11,35.0124,GM,General Motors
2017-01-12,34.6065,GM,General Motors
2017-01-13,34.4496,GM,General Motors
2017-01-17,34.422,GM,General Motors
2017-01-18,34.5696,GM,General Motors
2017-01-19,34.4127,GM,General Motors
2017-01-20,34.1452,GM,General Motors
2017-01-23,33.813,GM,General Motors
2017-01-24,34.136,GM,General Motors
2017-01-25,35.3169,GM,General Motors
2017-01-26,34.6157,GM,General Motors
2017-01-27,34.1452,GM,General Motors
2017-01-30,33.5178,GM,General Motors
2017-01-31,33.7761,GM,General Motors
2017-02-01,33.3425,GM,General Motors
2017-02-02,32.9643,GM,General Motors
2017-02-03,33.5178,GM,General Motors
2017-02-06,33.9791,GM,General Motors
2017-02-07,32.383,GM,General Motors
2017-02-08,32.4199,GM,General Motors
2017-02-09,32.3646,GM,General Motors
2017-02-10,32.4476,GM,General Motors
2017-02-13,32.7705,GM,General Motors
2017-02-14,34.3574,GM,General Motors
2017-02-15,34.2098,GM,General Motors
2017-02-16,34.1636,GM,General Motors
2017-02-17,34.3389,GM,General Motors
2017-02-21,34.8833,GM,General Motors
2017-02-22,34.9109,GM,General Motors
2017-02-23,34.3666,GM,General Motors
2017-02-24,34.0437,GM,General Motors
2017-02-27,34.3851,GM,General Motors
2017-02-28,33.9883,GM,General Motors
2017-03-01,34.5327,GM,General Motors
2017-03-02,34.8371,GM,General Motors
2017-03-03,35.2707,GM,General Motors
2017-03-06,34.9755,GM,General Motors
2017-03-07,34.6157,GM,General Motors
2017-03-08,34.7369,GM,General Motors
2017-03-09,34.3268,GM,General Motors
2017-03-10,34.3268,GM,General Motors
2017-03-13,34.3641,GM,General Motors
2017-03-14,34.4479,GM,General Motors
2017-03-15,34.5691,GM,General Motors
2017-03-16,34.5598,GM,General Motors
2017-03-17,33.8608,GM,General Motors
2017-03-20,33.2829,GM,General Motors
2017-03-21,32.2017,GM,General Motors
2017-03-22,32.0526,GM,General Motors
2017-03-23,31.9315,GM,General Motors
2017-03-24,32.2111,GM,General Motors
2017-03-27,32.3509,GM,General Motors
2017-03-28,33.1431,GM,General Motors
2017-03-29,33.1245,GM,General Motors
2017-03-30,33.0033,GM,General Motors
2017-03-31,32.9567,GM,General Motors
2017-04-03,31.8476,GM,General Motors
2017-04-04,31.9408,GM,General Motors
2017-04-05,31.6891,GM,General Motors
2017-04-06,31.8382,GM,General Motors
2017-04-07,31.4188,GM,General Motors
2017-04-10,31.6612,GM,General Motors
2017-04-11,31.6146,GM,General Motors
2017-04-12,31.6332,GM,General Motors
2017-04-13,31.1206,GM,General Motors
2017-04-17,31.5959,GM,General Motors
2017-04-18,31.4002,GM,General Motors
2017-04-19,31.4934,GM,General Motors
2017-04-20,31.7823,GM,General Motors
2017-04-21,31.4561,GM,General Motors
2017-04-24,31.6052,GM,General Motors
2017-04-25,31.6798,GM,General Motors
2017-04-26,32.0433,GM,General Motors
2017-04-27,32.1924,GM,General Motors
2017-04-28,32.2856,GM,General Motors
2017-05-01,31.8755,GM,General Motors
2017-05-02,30.9435,GM,General Motors
2017-05-03,31.2045,GM,General Motors
2017-05-04,30.8969,GM,General Motors
2017-05-05,31.4748,GM,General Motors
2017-05-08,31.6612,GM,General Motors
2017-05-09,31.9315,GM,General Motors
2017-05-10,31.9035,GM,General Motors
2017-05-11,31.7916,GM,General Motors
2017-05-12,31.3349,GM,General Motors
2017-05-15,31.5214,GM,General Motors
2017-05-16,31.1485,GM,General Motors
2017-05-17,30.2165,GM,General Motors
2017-05-18,30.2631,GM,General Motors
2017-05-19,30.4961,GM,General Motors
2017-05-22,30.6825,GM,General Motors
2017-05-23,30.9621,GM,General Motors
2017-05-24,30.9435,GM,General Motors
2017-05-25,30.3843,GM,General Motors
2017-05-26,30.8223,GM,General Motors
2017-05-30,31.2511,GM,General Motors
2017-05-31,31.6239,GM,General Motors
2017-06-01,32.0899,GM,General Motors
2017-06-02,32.1085,GM,General Motors
2017-06-05,32.1179,GM,General Motors
2017-06-06,32.0899,GM,General Motors
2017-06-07,32.3632,GM,General Motors
2017-06-08,32.1464,GM,General Motors
2017-06-09,32.3632,GM,General Motors
2017-06-12,32.6836,GM,General Motors
2017-06-13,32.5234,GM,General Motors
2017-06-14,32.6177,GM,General Motors
2017-06-15,32.6082,GM,General Motors
2017-06-16,32.3161,GM,General Motors
2017-06-19,32.3726,GM,General Motors
2017-06-20,32.4198,GM,General Motors
2017-06-21,32.1653,GM,General Motors
2017-06-22,32.2218,GM,General Motors
2017-06-23,32.2313,GM,General Motors
2017-06-26,32.5328,GM,General Motors
2017-06-27,32.2407,GM,General Motors
2017-06-28,32.5894,GM,General Motors
2017-06-29,32.8533,GM,General Motors
2017-06-30,32.9192,GM,General Motors
2017-07-03,33.5224,GM,General Motors
2017-07-05,32.9946,GM,General Motors
2017-07-06,32.8627,GM,General Motors
2017-07-07,32.9287,GM,General Motors
2017-07-10,33.1643,GM,General Motors
2017-07-11,33.3622,GM,General Motors
2017-07-12,33.4564,GM,General Motors
2017-07-13,33.7957,GM,General Motors
2017-07-14,34.2575,GM,General Motors
2017-07-17,34.2858,GM,General Motors
2017-07-18,34.3329,GM,General Motors
2017-07-19,34.3706,GM,General Motors
2017-07-20,34.314,GM,General Motors
2017-07-21,33.9936,GM,General Motors
2017-07-24,33.758,GM,General Motors
2017-07-25,33.5224,GM,General Motors
2017-07-26,33.5695,GM,General Motors
2017-07-27,33.8711,GM,General Motors
2017-07-28,33.7109,GM,General Motors
2017-07-31,33.9088,GM,General Motors
2017-08-01,33.2679,GM,General Motors
2017-08-02,32.8156,GM,General Motors
2017-08-03,32.7685,GM,General Motors
2017-08-04,33.2397,GM,General Motors
2017-08-07,33.2679,GM,General Motors
2017-08-08,33.3528,GM,General Motors
2017-08-09,33.2491,GM,General Motors
2017-08-10,32.8721,GM,General Motors
2017-08-11,32.9192,GM,General Motors
2017-08-14,33.4282,GM,General Motors
2017-08-15,33.4941,GM,General Motors
2017-08-16,33.692,GM,General Motors
2017-08-17,32.9852,GM,General Motors
2017-08-18,32.825,GM,General Motors
2017-08-21,32.9004,GM,General Motors
2017-08-22,33.2679,GM,General Motors
2017-08-23,33.447,GM,General Motors
2017-08-24,33.4753,GM,General Motors
2017-08-25,33.5507,GM,General Motors
2017-08-28,33.4659,GM,General Motors
2017-08-29,33.4753,GM,General Motors
2017-08-30,33.758,GM,General Motors
2017-08-31,34.4366,GM,General Motors
2017-09-01,35.2094,GM,General Motors
2017-09-05,35.0868,GM,General Motors
2017-09-06,35.5015,GM,General Motors
2017-09-07,35.1398,GM,General Motors
2017-09-08,35.2254,GM,General Motors
2017-09-11,35.5587,GM,General Motors
2017-09-12,36.0728,GM,General Motors
2017-09-13,36.3774,GM,General Motors
2017-09-14,36.9296,GM,General Motors
2017-09-15,37.0153,GM,General Motors
2017-09-18,36.7392,GM,General Motors
2017-09-19,36.8439,GM,General Motors
2017-09-20,37.0153,GM,General Motors
2017-09-21,37.2247,GM,General Motors
2017-09-22,37.5294,GM,General Motors
2017-09-25,38.3672,GM,General Motors
2017-09-26,38.3291,GM,General Motors
2017-09-27,38.6337,GM,General Motors
2017-09-28,38.6337,GM,General Motors
2017-09-29,38.4433,GM,General Motors
2017-10-02,40.1284,GM,General Motors
2017-10-03,41.3661,GM,General Motors
2017-10-04,41.6803,GM,General Motors
2017-10-05,41.7469,GM,General Motors
2017-10-06,42.7751,GM,General Motors
2017-10-09,43.1559,GM,General Motors
2017-10-10,43.0417,GM,General Motors
2017-10-11,43.2892,GM,General Motors
2017-10-12,42.737,GM,General Motors
2017-10-13,43.6795,GM,General Motors
2017-10-16,43.5653,GM,General Motors
2017-10-17,42.8608,GM,General Motors
2017-10-18,42.956,GM,General Motors
2017-10-19,43.175,GM,General Motors
2017-10-20,43.4225,GM,General Motors
2017-10-23,42.9846,GM,General Motors
2017-10-24,44.2508,GM,General Motors
2017-10-25,42.956,GM,General Motors
2017-10-26,43.0798,GM,General Motors
2017-10-27,42.499,GM,General Motors
2017-10-30,41.2899,GM,General Motors
2017-10-31,40.9186,GM,General Motors
2017-11-01,41.0614,GM,General Motors
2017-11-02,40.5569,GM,General Motors
2017-11-03,40.3093,GM,General Motors
2017-11-06,40.1189,GM,General Motors
2017-11-07,39.7,GM,General Motors
2017-11-08,40.0904,GM,General Motors
2017-11-09,40.0904,GM,General Motors
2017-11-10,40.614,GM,General Motors
2017-11-13,41.4803,GM,General Motors
2017-11-14,40.9377,GM,General Motors
2017-11-15,40.8044,GM,General Motors
2017-11-16,41.5089,GM,General Motors
2017-11-17,41.7755,GM,General Motors
2017-11-20,42.7275,GM,General Motors
2017-11-21,42.8132,GM,General Motors
2017-11-22,42.1658,GM,General Motors
2017-11-24,42.3276,GM,General Motors
2017-11-27,42.0516,GM,General Motors
2017-11-28,42.7656,GM,General Motors
2017-11-29,41.7088,GM,General Motors
2017-11-30,41.0234,GM,General Motors
2017-12-01,40.7377,GM,General Motors
2017-12-04,40.9853,GM,General Motors
